,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
110,K Upadhyay,0,10,9,0,0,3,0,2,0,8.25
111,VY Mahesh,0,18,29,4,0,7,0,3,3,8.22
112,YK Pathan,0,46,64,3,1,13,1,9,3,8.18
113,AC Thomas,0,30,33,8,1,13,0,2,3,8.11
114,AN Ahmed,0,5,5,1,0,1,0,1,0,8.1
115,JP Duminy,0,22,40,5,0,6,0,5,1,8.0
116,DAJ Bracewell,0,10,10,1,0,2,0,2,3,7.8
117,STR Binny,0,15,29,7,1,8,0,0,3,7.8
118,SK Raina,0,21,52,2,0,5,0,5,2,7.52
119,DR Smith,0,28,34,5,0,9,0,3,2,7.48
120,RN ten Doeschate,0,2,16,2,0,1,0,0,1,7.27
121,J Theron,0,18,23,2,0,5,0,2,2,7.2
122,AL Menaria,0,10,7,0,0,1,0,2,1,7.19
123,M Kartik,0,76,105,16,1,17,1,9,4,7.16
124,GJ Maxwell,0,6,10,1,0,1,0,1,1,7.1
125,MJ Clarke,0,22,34,3,0,5,0,2,2,6.55
126,AA Jhunjhunwala,0,14,13,5,0,4,0,0,1,6.5
127,LR Shukla,0,5,4,2,0,1,0,0,1,6.0
128,AG Murtaza,0,5,5,1,0,1,0,0,0,5.5
