,fielder,fielderpresumoverall2008,fielderpresumoverall2009,fielderpresumoverall2010,fielderpresumoverall2011,fielderpresumoverall2012,fielderpresumoverall2013,fielderpresumoverall2014,fielderpresumoverall2015,fielderpresumoverall2016
142,TG Southee,0,0,0,100,100,100,240,420,600
143,RR Powar,140,300,400,500,600,600,600,600,600
144,A Ashish Reddy,0,0,0,0,120,340,340,480,600
145,Q de Kock,0,0,0,0,0,180,320,420,600
146,Ankit Sharma,0,0,0,0,100,220,320,460,580
147,Y Nagar,0,100,200,380,580,580,580,580,580
148,AA Jhunjhunwala,0,0,260,440,580,580,580,580,580
149,ML Hayden,100,320,580,580,580,580,580,580,580
150,DT Christian,0,0,0,280,480,580,580,580,580
151,PR Shah,180,460,460,580,580,580,580,580,580
152,KB Arun Karthik,0,0,100,240,240,560,560,560,560
153,R Dhawan,0,0,0,0,0,180,360,460,560
154,OA Shah,0,0,100,240,460,560,560,560,560
155,S Sreesanth,140,240,340,460,460,560,560,560,560
156,DP Nannes,0,180,280,400,400,560,560,560,560
157,Harmeet Singh,0,160,260,360,460,560,560,560,560
158,VR Aaron,0,0,0,100,240,240,340,460,560
159,KK Cooper,0,0,0,0,160,440,560,560,560
160,JDP Oram,140,360,360,460,460,560,560,560,560
161,NM Coulter-Nile,0,0,0,0,0,120,220,440,540
162,AD Mascarenhas,100,220,320,320,440,540,540,540,540
163,GC Smith,140,280,420,540,540,540,540,540,540
164,VS Malik,0,120,220,320,320,420,540,540,540
165,Pankaj Singh,120,240,340,440,540,540,540,540,540
166,MR Marsh,0,0,120,220,220,440,440,440,540
167,LA Pomersbach,120,240,240,440,440,540,540,540,540
168,Joginder Sharma,200,300,420,520,520,520,520,520,520
169,SA Asnodkar,200,320,420,520,520,520,520,520,520
170,MA Starc,0,0,0,0,0,0,280,520,520
171,WD Parnell,0,0,0,140,260,380,520,520,520
172,SW Tait,0,0,140,300,420,520,520,520,520
173,VY Mahesh,200,300,400,400,520,520,520,520,520
174,K Goel,140,340,500,500,500,500,500,500,500
175,AB McDonald,0,100,200,300,400,500,500,500,500
176,VVS Laxman,140,260,400,500,500,500,500,500,500
177,JD Ryder,0,140,140,320,500,500,500,500,500
178,GB Hogg,0,0,0,0,120,220,220,320,500
179,AS Raut,0,160,300,480,480,480,480,480,480
180,A Kumble,160,320,480,480,480,480,480,480,480
181,LMP Simmons,0,0,0,0,0,0,140,380,480
182,B Akhil,160,280,380,480,480,480,480,480,480
183,DB Das,120,120,120,120,320,480,480,480,480
184,AG Murtaza,0,0,120,240,340,480,480,480,480
185,Parvez Rasool,0,0,0,0,0,100,220,320,460
186,S Aravind,0,0,0,120,220,220,220,320,460
187,DJG Sammy,0,0,0,0,0,160,340,460,460
188,HH Pandya,0,0,0,0,0,0,0,240,460
189,PC Valthaty,0,100,100,240,360,460,460,460,460
190,S Ladda,0,0,120,260,260,360,360,360,460
191,B Chipli,120,120,120,240,360,460,460,460,460
192,CM Gautam,0,0,0,0,0,100,320,440,440
