,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
61,LRPL Taylor,379,28,38,3,0,2,6,114.29
62,DJ Hussey,366,37,40,2,0,5,5,105.62
63,R Bhatia,364,7,6,1,0,1,2,141.18
64,LR Shukla,364,11,10,1,0,3,2,133.33
65,BB McCullum,361,60,36,5,0,14,2,97.44
66,AB Agarkar,360,7,14,5,0,4,0,133.33
67,BJ Hodge,359,41,36,5,1,11,1,104.21
68,AB McDonald,355,16,26,6,1,3,2,120.37
69,AP Tare,352,25,4,4,0,5,3,121.95
70,MF Maharoof,348,10,9,1,0,2,2,129.17
71,DJ Bravo,348,25,17,4,0,3,4,115.09
72,AS Raut,347,19,20,3,0,3,3,116.67
73,SK Trivedi,345,9,2,0,0,3,1,133.33
74,P Dogra,345,47,44,7,1,4,5,99.07
75,AM Nayar,340,19,22,4,0,4,2,113.73
76,S Sreesanth,328,12,3,2,0,5,0,122.73
77,MV Boucher,327,2,7,0,0,0,1,130.0
78,RJ Harris,325,15,15,5,0,2,2,115.38
79,VVS Laxman,324,27,24,3,0,7,1,103.23
80,DL Vettori,323,9,13,2,0,4,0,117.86
81,Bipul Sharma,319,1,5,0,0,1,0,128.57
82,GC Smith,319,20,10,3,0,7,0,110.0
83,EJG Morgan,311,10,15,3,0,2,1,112.9
84,A Nehra,309,8,9,0,0,2,1,115.0
85,AB de Villiers,308,47,57,10,2,7,0,90.24
86,SA Asnodkar,307,2,1,0,0,1,0,125.0
87,A Mithun,307,2,1,0,0,1,0,125.0
88,PP Chawla,304,27,24,5,0,7,0,98.41
89,R Sharma,301,15,3,4,0,3,1,111.54
90,VS Malik,298,2,2,0,0,1,0,120.0
91,R McLaren,293,31,29,3,1,7,0,92.96
92,AB Barath,290,22,14,1,0,5,1,97.67
93,PA Patel,288,41,32,2,0,6,2,86.75
94,Anirudh Singh,286,34,23,5,0,6,1,91.3
95,KAJ Roach,282,3,4,1,0,1,0,111.11
96,S Narwal,280,6,4,1,0,2,0,107.69
97,DE Bollinger,280,8,6,1,0,1,1,105.88
98,JM Kemp,279,11,9,2,1,1,1,104.0
99,AD Mascarenhas,275,2,6,3,0,0,0,109.09
100,ST Jayasuriya,270,21,8,0,1,4,1,94.29
101,M Kartik,268,9,9,1,1,2,0,100.0
102,AJ Finch,268,7,11,2,0,0,1,100.0
103,B Sumanth,263,15,17,3,0,3,0,92.11
104,B Lee,260,4,5,1,0,1,0,100.0
105,MR Marsh,255,12,16,1,0,1,1,90.32
106,M Kaif,253,11,16,2,0,2,0,90.32
107,CRD Fernando,252,0,2,0,0,0,0,100.0
108,SL Malinga,251,0,1,0,0,0,0,100.0
109,BAW Mendis,251,0,1,0,0,0,0,100.0
110,WPUJC Vaas,250,14,16,2,0,1,1,88.24
111,L Balaji,248,10,8,0,0,1,1,90.0
112,K Goel,248,10,8,0,0,1,1,90.0
113,S Sriram,248,14,13,1,0,3,0,87.1
114,TM Dilshan,247,30,18,1,0,6,0,80.0
115,SW Tait,246,6,6,0,0,0,1,92.31
116,DR Smith,243,13,8,2,0,1,1,88.0
117,MEK Hussey,238,19,18,4,1,2,0,84.09
118,T Thushara,234,4,4,3,0,0,0,90.91
119,Y Venugopal Rao,232,24,16,0,0,3,1,77.27
120,R Ashwin,220,17,20,1,0,2,0,75.0
121,SP Goswami,218,8,0,0,0,2,0,80.0
122,R Vinay Kumar,216,15,15,4,0,1,0,77.14
123,A Mishra,215,20,31,2,0,1,0,72.22
124,DW Steyn,213,10,5,0,0,2,0,76.47
125,MM Patel,211,2,2,1,0,0,0,80.0
126,DR Martyn,209,10,15,0,0,1,0,73.08
127,C Madan,204,15,3,0,0,3,0,71.43
128,UT Yadav,202,1,3,0,0,0,0,75.0
129,S Tyagi,202,1,3,0,0,0,0,75.0
130,Jaskaran Singh,196,5,4,2,0,0,0,72.73
131,GJ Bailey,192,16,8,1,0,2,0,66.67
132,PJ Sangwan,186,6,8,1,0,0,0,66.67
133,KP Appanna,184,1,2,0,0,0,0,66.67
134,RR Powar,173,5,1,2,0,0,0,62.5
135,KB Arun Karthik,171,2,3,0,0,0,0,60.0
136,A Uniyal,165,3,4,0,0,0,0,57.14
137,M Morkel,163,11,3,1,0,1,0,56.25
138,SE Bond,150,1,1,0,0,0,0,50.0
139,M Muralitharan,150,1,1,0,0,0,0,50.0
140,Pankaj Singh,150,1,1,0,0,0,0,50.0
141,A Kumble,150,6,6,0,0,0,0,50.0
142,RE van der Merwe,150,1,1,0,0,0,0,50.0
143,AA Bilakhia,150,2,2,0,0,0,0,50.0
144,SJ Srivastava,150,1,1,0,0,0,0,50.0
145,P Kumar,148,5,2,1,0,0,0,50.0
146,AN Ahmed,148,5,2,1,0,0,0,50.0
147,SK Warne,140,13,6,2,0,0,0,47.62
148,RP Singh,132,14,4,1,1,0,0,45.0
149,PP Ojha,121,6,1,1,0,0,0,37.5
150,Mandeep Singh,120,10,0,0,0,1,0,36.36
151,I Sharma,115,11,6,0,0,0,0,35.29
152,J Theron,114,4,2,0,0,0,0,33.33
153,DP Nannes,106,9,4,0,0,0,0,30.77
154,MS Gony,104,5,2,0,0,0,0,28.57
155,RS Gavaskar,96,6,2,0,0,0,0,25.0
156,Y Nagar,73,6,1,0,0,0,0,14.29
157,YA Abdulla,49,1,0,0,0,0,0,0.0
158,AG Paunikar,49,1,0,0,0,0,0,0.0
159,Harmeet Singh,49,1,0,0,0,0,0,0.0
160,Iqbal Abdulla,49,1,0,0,0,0,0,0.0
161,CK Langeveldt,49,1,0,0,0,0,0,0.0
162,AB Dinda,49,1,0,0,0,0,0,0.0
163,S Ladda,40,10,0,0,0,0,0,0.0
