,bowler,bowlerpresumoverall2008,bowlerpresumoverall2009,bowlerpresumoverall2010,bowlerpresumoverall2011,bowlerpresumoverall2012,bowlerpresumoverall2013,bowlerpresumoverall2014,bowlerpresumoverall2015,bowlerpresumoverall2016
195,LA Carseldine,0,53,53,53,53,53,53,53,53
196,SS Mundhe,0,0,0,53,53,53,53,53,53
197,J Syed Mohammad,0,0,0,53,53,53,53,53,53
198,LR Shukla,23,51,51,51,51,51,51,51,51
199,JD Ryder,0,15,15,51,51,51,51,51,51
200,RR Raje,50,50,50,50,50,50,50,50,50
201,AJ Finch,0,0,42,42,42,42,42,42,42
202,SB Wagh,0,0,0,40,40,40,40,40,40
203,Gurkeerat Singh,0,0,0,0,0,0,0,35,35
204,JDP Oram,0,32,32,32,32,32,32,32,32
205,R Tewatia,0,0,0,0,0,0,13,13,13
206,DJ Hussey,0,0,0,0,10,10,10,10,10
207,AM Salvi,0,9,9,9,9,9,9,9,9
208,Parvez Rasool,0,0,0,0,0,2,2,2,2
209,BAW Mendis,0,0,0,0,0,1,1,1,1
210,A Flintoff,0,0,0,0,0,0,0,0,0
211,M Manhas,0,0,0,0,0,0,0,0,0
212,GR Napier,0,0,0,0,0,0,0,0,0
213,BMAJ Mendis,0,0,0,0,0,0,0,0,0
214,SA Yadav,0,0,0,0,0,0,0,0,0
215,AL Menaria,0,0,0,0,0,0,0,0,0
216,LPC Silva,0,0,0,0,0,0,0,0,0
217,Mohammad Hafeez,0,0,0,0,0,0,0,0,0
218,RG More,0,0,0,0,0,0,0,0,0
219,C Nanda,0,0,0,0,0,0,0,0,0
220,R McLaren,0,0,0,0,0,0,0,0,0
221,TP Sudhindra,0,0,0,0,0,0,0,0,0
222,SD Chitnis,0,0,0,0,0,0,0,0,0
223,RJ Peterson,0,0,0,0,0,0,0,0,0
224,P Sahu,0,0,0,0,0,0,0,0,0
225,CJ McKay,0,0,0,0,0,0,0,0,0
226,VS Yeligati,0,0,0,0,0,0,0,0,0
227,C Munro,0,0,0,0,0,0,0,0,0
228,M Vijay,0,0,0,0,0,0,0,0,0
229,RA Shaikh,0,0,0,0,0,0,0,0,0
230,AS Raut,0,0,0,0,0,0,0,0,0
231,AF Milne,0,0,0,0,0,0,0,0,0
