,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets
68,SA Abbott,449,6,15,2,0,8,0,1,0
67,WPUJC Vaas,2064,128,94,10,1,41,1,13,18
66,L Ablish,734,10,20,3,0,11,0,1,3
65,DL Vettori,2676,270,368,54,2,67,0,24,28
64,SK Warne,5161,426,543,100,6,92,0,56,57
63,FH Edwards,910,70,49,9,0,19,1,2,5
62,Y Gnaneswara Rao,496,3,1,1,0,1,0,0,0
61,S Rana,487,5,8,1,0,2,0,0,0
60,JP Faulkner,4593,363,454,109,5,134,1,57,53
59,DL Chahar,471,13,12,2,0,5,0,1,0
58,KS Williamson,495,2,3,0,0,1,0,0,0
57,S Narwal,834,37,35,11,0,17,0,13,5
56,Sunny Gupta,453,0,11,1,0,4,0,3,0
55,VRV Singh,1272,114,149,31,3,58,0,15,12
54,A Symonds,1996,190,232,38,1,45,1,33,20
53,DB Ravi Teja,576,4,10,1,0,1,0,2,1
52,VY Mahesh,2216,120,148,21,2,46,2,19,21
51,KP Appanna,1177,68,104,17,1,21,0,11,9
50,S Ladda,823,48,54,9,1,12,0,17,5
49,J Yadav,805,59,60,10,0,14,0,3,4
48,JDP Oram,1124,79,100,14,0,36,1,13,9
47,AG Murtaza,1179,101,119,11,0,23,1,14,9
46,KAJ Roach,440,20,16,3,0,10,0,3,0
45,RV Gomez,907,37,38,5,0,10,0,7,5
44,F du Plessis,484,0,4,0,0,0,0,2,0
43,SB Wagh,898,45,31,8,0,22,0,2,5
42,DW Steyn,8303,978,726,126,14,265,5,45,92
41,JA Morkel,7237,646,694,131,8,267,5,56,85
40,AC Thomas,1610,126,118,28,1,42,1,11,14
39,RR Bhatkal,465,0,5,2,0,2,0,3,0
38,RJ Harris,4279,364,282,62,6,121,3,27,45
37,B Chipli,481,1,0,2,0,1,0,2,0
36,ST Jayasuriya,1487,83,156,21,0,23,2,16,13
35,Mohammad Asif,1057,64,72,16,1,38,0,8,8
34,DT Christian,1921,174,204,37,2,58,1,22,19
33,CH Morris,3964,330,316,67,7,100,3,30,42
32,JW Hastings,765,31,16,3,0,11,0,0,3
31,PP Chawla,10238,874,1039,194,9,224,6,126,120
30,CK Kapugedera,451,0,7,2,0,5,0,3,0
29,YA Abdulla,1777,88,74,15,0,31,1,13,15
28,JO Holder,774,80,90,16,1,29,1,10,5
27,Abdur Razzak,476,5,3,1,0,2,2,1,0
26,A Mithun,820,90,138,20,1,41,1,20,7
25,V Shankar,482,1,1,1,0,1,0,2,0
24,S Kaushik,953,48,59,11,0,15,0,9,6
23,JDS Neesham,518,14,26,3,0,10,0,4,1
22,P Kumar,6747,1035,890,155,17,324,7,101,84
21,MM Patel,6726,580,440,73,8,185,2,49,73
20,JP Duminy,2217,228,327,45,0,51,2,30,23
19,AC Voges,439,15,30,1,0,8,0,2,0
18,SM Boland,658,14,18,4,0,6,0,1,2
17,PJ Cummins,602,34,33,4,0,11,1,7,2
16,SC Ganguly,1205,75,147,18,1,25,0,14,10
15,SR Tendulkar,445,4,23,3,0,6,0,1,0
14,PV Tambe,2638,204,318,58,1,64,1,28,28
13,C Ganapathy,488,1,3,0,0,1,0,1,0
12,JJ van der Wath,695,29,21,1,1,18,0,6,3
11,R Shukla,821,38,48,12,1,22,0,9,5
10,CJ Anderson,824,45,49,9,0,28,0,7,5
9,Mustafizur Rahman,1910,137,156,40,1,32,0,10,17
8,AC Gilchrist,601,1,0,0,0,0,0,0,1
7,Z Khan,8064,801,739,135,8,287,4,56,93
6,Shoaib Akhtar,969,23,12,3,0,6,0,2,5
5,BJ Rohrer,489,1,4,0,0,2,0,0,0
4,JR Hopes,1443,105,166,26,0,44,0,28,14
3,S Gopal,1081,36,50,14,1,8,0,7,7
2,CJ Jordan,1383,49,83,16,0,23,1,9,11
1,Shahid Afridi,1220,57,87,14,0,20,0,7,9
0,MG Johnson,4861,436,332,68,5,158,4,40,53
