,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
71,M Manhas,433,36,42,7,0,10,4,121.21
72,S Aravind,423,3,2,0,0,3,0,175.0
73,DA Miller,421,24,34,8,0,6,4,128.95
74,PP Chawla,419,33,38,4,0,9,4,120.45
75,STR Binny,417,28,25,4,1,9,3,128.57
76,LR Shukla,407,23,21,4,0,4,5,131.58
77,AD Mathews,407,31,58,11,1,5,4,115.45
78,RJ Harris,400,3,4,2,0,1,1,163.64
79,DJ Harris,396,52,33,2,0,11,5,107.77
80,KMDN Kulasekara,391,1,1,0,0,1,0,166.67
81,Y Venugopal Rao,388,53,56,7,0,8,5,102.33
82,Shakib Al Hasan,384,27,33,8,0,6,3,118.18
83,RE Levi,380,41,19,0,0,10,4,112.16
84,AB McDonald,377,17,11,0,0,6,2,130.56
85,MN Samuels,368,55,48,9,0,7,5,100.0
86,AP Majumdar,367,28,33,7,0,7,2,112.99
87,N Saini,364,68,43,15,1,16,0,97.9
88,PA Reddy,358,25,23,7,0,6,2,115.87
89,Ankit Sharma,351,5,6,0,0,0,2,138.46
90,AA Chavan,341,3,3,0,0,2,0,137.5
91,K Upadhyay,338,3,3,1,0,0,1,137.5
92,MJ Clarke,338,43,35,5,0,12,0,97.89
93,P Negi,335,12,12,1,0,4,1,120.0
94,DAJ Bracewell,330,1,6,1,0,1,0,133.33
95,M Kartik,328,4,14,1,0,1,1,123.81
96,AC Thomas,326,5,7,1,0,1,1,126.67
97,SD Chitnis,324,28,24,4,0,7,1,103.13
98,R Bhatia,323,9,15,2,0,4,0,116.67
99,AJ Finch,321,24,17,3,0,8,0,105.77
100,R Vinay Kumar,321,23,30,7,0,3,2,104.62
101,A Ashish Reddy,319,13,9,4,0,3,1,116.67
102,J Botha,314,20,25,4,1,4,1,105.45
103,SP Goswami,314,22,37,5,0,4,1,100.0
104,SL Malinga,312,27,21,0,0,4,3,100.0
105,R Ashwin,309,5,6,2,0,2,0,120.0
106,DL Vettori,309,11,13,0,0,3,1,110.71
107,B Chipli,303,18,11,1,0,3,2,105.71
108,P Kumar,297,14,9,6,0,2,1,109.38
109,UBT Chand,295,21,8,1,0,2,3,102.86
110,J Theron,292,2,3,0,0,1,0,116.67
111,SP Narine,287,5,1,0,0,2,0,112.5
112,RJ Peterson,284,15,12,1,0,3,1,100.0
113,HH Gibbs,284,51,26,3,0,8,2,84.44
114,B Kumar,280,17,16,4,0,4,0,97.56
115,RN ten Doeschate,271,9,9,1,0,1,1,100.0
116,AM Nayar,271,18,25,3,0,2,1,91.84
117,JP Faulkner,258,3,8,3,0,0,0,100.0
118,MD Mishra,255,3,0,0,0,1,0,100.0
119,DB Ravi Teja,255,3,0,0,0,1,0,100.0
120,Harpreet Singh,254,1,4,1,0,0,0,100.0
121,BB Samantray,252,0,2,0,0,0,0,100.0
122,GB Hogg,250,5,9,1,0,1,0,93.75
123,AA Jhunjhunwala,246,13,11,0,1,1,1,88.89
124,DW Steyn,240,11,5,4,0,0,1,90.48
125,HV Patel,240,5,11,0,0,1,0,88.24
126,M Kaif,238,5,10,0,0,1,0,87.5
127,AD Mascarenhas,234,7,6,2,0,1,0,87.5
128,CJ Ferguson,232,30,22,8,0,3,0,79.37
129,A Nehra,227,6,5,1,0,1,0,84.62
130,TL Suman,220,12,5,0,0,1,1,78.95
131,SK Trivedi,216,3,1,2,0,0,0,83.33
132,P Awana,213,1,4,0,0,0,0,80.0
133,A Mishra,212,9,10,1,0,1,0,76.19
134,CA Pujara,206,16,3,2,0,1,1,73.91
135,AUK Pathan,200,4,2,2,0,0,0,75.0
136,Z Khan,197,9,6,1,0,1,0,70.59
137,WD Parnell,192,16,11,0,0,2,0,65.52
138,IR Jaggi,188,10,10,1,1,0,0,68.18
139,Iqbal Abdulla,184,1,2,0,0,0,0,66.67
140,M Muralitharan,180,6,1,1,1,0,0,66.67
141,CA Lynn,173,7,2,0,0,1,0,60.0
142,PC Valthaty,173,36,10,2,0,4,0,57.69
143,AG Murtaza,171,2,3,0,0,0,0,60.0
144,M Morkel,171,2,3,0,0,0,0,60.0
145,DE Bollinger,171,2,3,0,0,0,0,60.0
146,P Dogra,171,12,11,2,0,0,0,60.0
147,SB Jakati,168,5,7,0,0,0,0,58.33
148,GJ Maxwell,158,6,4,1,0,0,0,54.55
149,CJ McKay,155,8,6,1,0,0,0,53.33
150,RP Singh,150,6,6,0,0,0,0,50.0
151,MS Gony,150,4,4,0,0,0,0,50.0
152,WP Saha,133,8,6,0,0,0,0,42.86
153,AB Dinda,129,3,2,0,0,0,0,40.0
154,VR Aaron,115,2,1,0,0,0,0,33.33
155,NLTC Perera,112,8,4,0,0,0,0,33.33
156,UT Yadav,104,5,2,0,0,0,0,28.57
157,MM Patel,104,5,2,0,0,0,0,28.57
158,PP Ojha,101,10,4,0,0,0,0,28.57
159,R Sharma,77,10,0,1,0,0,0,18.18
160,V Pratap Singh,49,1,0,0,0,0,0,0.0
161,Sunny Gupta,49,1,0,0,0,0,0,0.0
162,A Chandila,49,1,0,0,0,0,0,0.0
163,S Nadeem,48,2,0,0,0,0,0,0.0
164,RR Bhatkal,48,2,0,0,0,0,0,0.0
165,P Parameswaran,48,2,0,0,0,0,0,0.0
166,A Singh,47,3,0,0,0,0,0,0.0
167,AC Blizzard,47,3,0,0,0,0,0,0.0
168,SA Yadav,46,4,0,0,0,0,0,0.0
169,DJ Jacobs,40,10,0,0,0,0,0,0.0
