,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
142,Shoaib Akhtar,96,6,2,0,0,0,0,25.0
143,A Nehra,89,10,3,0,0,0,0,23.08
144,AM Rahane,82,18,0,0,0,1,0,21.05
145,S Anirudha,69,7,1,0,0,0,0,12.5
146,DS Kulkarni,60,15,2,0,0,0,0,11.76
147,MM Patel,49,1,0,0,0,0,0,0.0
148,U Kaul,49,1,0,0,0,0,0,0.0
149,A Mukund,49,1,0,0,0,0,0,0.0
150,Abdur Razzak,48,2,0,0,0,0,0,0.0
151,S Sreesanth,47,3,0,0,0,0,0,0.0
152,M Muralitharan,47,3,0,0,0,0,0,0.0
153,L Balaji,45,5,0,0,0,0,0,0.0
