,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
88,IK Pathan,284,24,23,6,0,5,0,94.83
89,S Gopal,283,2,7,0,0,1,0,110.0
90,RR Rossouw,277,20,15,2,0,2,2,95.12
91,R Ashwin,277,18,23,3,0,4,0,93.75
92,R Rampaul,262,6,5,1,0,0,1,100.0
93,JDS Neesham,260,25,10,7,0,3,1,91.3
94,TG Southee,255,3,0,0,0,1,0,100.0
95,AM Nayar,254,32,8,3,1,5,1,86.0
96,S Kaul,252,0,2,0,0,0,0,100.0
97,M Morkel,252,1,2,1,0,0,0,100.0
98,Karanveer Singh,251,0,1,0,0,0,0,100.0
99,WD Parnell,250,1,0,1,0,0,0,100.0
100,LR Shukla,240,18,17,0,0,2,1,81.58
101,R Shukla,238,9,10,0,0,2,0,85.71
102,DW Steyn,232,10,12,3,0,1,0,84.62
103,Imran Tahir,218,8,0,0,0,2,0,80.0
104,Mandeep Singh,201,15,9,1,0,2,0,70.37
105,SP Narine,186,6,8,1,0,0,0,66.67
106,DH Yagnik,185,2,4,0,0,0,0,66.67
107,MC Henriques,183,8,5,0,0,1,0,64.29
108,S Anirudha,171,2,3,0,0,0,0,60.0
109,A Mishra,165,3,4,0,0,0,0,57.14
110,R Vinay Kumar,163,4,2,1,0,0,0,57.14
111,PV Tambe,162,4,5,0,0,0,0,55.56
112,P Kumar,150,1,1,0,0,0,0,50.0
113,KW Richardson,150,1,1,0,0,0,0,50.0
114,SL Malinga,150,2,2,0,0,0,0,50.0
115,PP Ojha,150,4,4,0,0,0,0,50.0
116,VS Malik,150,1,1,0,0,0,0,50.0
117,M de Lange,150,1,1,0,0,0,0,50.0
118,UT Yadav,150,2,2,0,0,0,0,50.0
119,YS Chahal,150,1,1,0,0,0,0,50.0
120,Sandeep Sharma,129,3,2,0,0,0,0,40.0
121,Mohammed Shami,123,5,3,0,0,0,0,37.5
122,MM Sharma,115,2,1,0,0,0,0,33.33
123,L Balaji,115,2,1,0,0,0,0,33.33
124,S Nadeem,114,13,7,0,0,0,0,35.0
125,MS Bisla,113,6,3,0,0,0,0,33.33
126,AB Dinda,106,9,4,0,0,0,0,30.77
127,JJ Bumrah,98,3,1,0,0,0,0,25.0
128,B Kumar,98,3,1,0,0,0,0,25.0
129,AD Russell,96,6,2,0,0,0,0,25.0
130,UBT Chand,84,8,2,0,0,0,0,20.0
131,JD Unadkat,79,5,1,0,0,0,0,16.67
132,BE Hendricks,49,1,0,0,0,0,0,0.0
