,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
88,CA Pujara,324,54,28,4,0,14,0,92.0
89,KV Sharma,312,41,32,7,1,6,2,95.51
90,JP Faulkner,308,28,19,3,0,5,2,100.0
91,AG Murtaza,307,2,1,0,0,1,0,125.0
92,MG Johnson,301,16,15,2,0,2,2,105.41
93,PA Reddy,298,47,42,5,1,9,0,87.5
94,A Mishra,292,48,39,7,0,9,0,86.41
95,KB Arun Karthik,291,18,14,3,1,3,1,102.5
96,LA Pomersbach,287,31,15,7,1,5,1,96.67
97,SP Narine,284,9,9,0,0,0,2,105.0
98,OA Shah,284,6,15,1,0,2,0,104.17
99,MDKJ Perera,283,8,2,0,0,3,0,107.69
100,UT Yadav,281,17,16,2,0,3,1,97.44
101,TL Suman,281,31,18,1,0,8,0,89.66
102,AM Nayar,279,29,34,6,0,5,0,89.19
103,R Rampaul,275,20,10,5,0,3,1,97.44
104,R Dhawan,270,11,5,2,0,3,0,100.0
105,KW Richardson,267,16,14,3,0,2,1,94.44
106,TM Dilshan,265,61,20,4,0,12,0,78.35
107,AD Mascarenhas,253,1,3,1,0,0,0,100.0
108,JD Unadkat,252,0,2,0,0,0,0,100.0
109,K Upadhyay,251,0,1,0,0,0,0,100.0
110,A Mithun,250,1,0,1,0,0,0,100.0
111,J Botha,247,33,9,4,0,5,1,82.69
112,LRPL Taylor,245,35,30,8,1,2,1,81.82
113,RE van der Merwe,243,11,10,2,0,2,0,88.0
114,NV Ojha,239,4,5,0,0,1,0,90.0
115,L Balaji,237,5,3,1,0,1,0,90.0
116,A Mukund,235,8,11,2,0,1,0,86.36
117,B Chipli,233,11,6,0,0,1,1,84.21
118,BMAJ Mendis,231,8,15,4,0,0,0,85.19
119,BB McCullum,227,4,2,0,0,1,0,85.71
120,AB Dinda,221,5,5,0,0,1,0,81.82
121,B Kumar,218,40,22,6,0,3,1,72.22
122,CH Morris,217,7,6,4,0,0,0,82.35
123,DB Ravi Teja,213,5,12,1,0,0,0,77.78
124,R Ashwin,212,28,17,1,0,4,0,70.0
125,M Manhas,210,8,7,1,0,1,0,76.47
126,J Syed Mohammad,209,7,4,1,0,1,0,76.92
127,RT Ponting,208,43,24,5,0,3,1,68.42
128,AB Agarkar,206,5,10,1,0,0,0,75.0
129,S Kaul,204,5,1,3,0,0,0,77.78
130,Harmeet Singh,200,2,1,1,0,0,0,75.0
131,AD Russell,197,7,5,3,0,0,0,73.33
132,WD Parnell,195,2,5,0,0,0,0,71.43
133,A Chandila,185,2,4,0,0,0,0,66.67
134,M Kartik,184,1,2,0,0,0,0,66.67
135,R Sharma,183,10,5,1,0,1,0,64.71
136,P Dogra,175,4,3,1,0,0,0,62.5
137,SMSM Senanayake,168,8,8,1,0,0,0,58.82
138,X Thalaivan Sargunam,166,9,6,2,0,0,0,58.82
139,Iqbal Abdulla,166,6,8,0,0,0,0,57.14
140,Parvez Rasool,162,4,5,0,0,0,0,55.56
141,AL Menaria,150,1,1,0,0,0,0,50.0
142,R Shukla,150,1,1,0,0,0,0,50.0
143,PP Ojha,150,2,2,0,0,0,0,50.0
144,PV Tambe,150,3,3,0,0,0,0,50.0
145,BAW Mendis,150,2,2,0,0,0,0,50.0
146,S Nadeem,149,19,4,3,0,1,0,51.85
147,Mohammed Shami,148,6,3,1,0,0,0,50.0
148,R McLaren,148,4,1,1,0,0,0,50.0
149,UA Birla,143,11,3,0,0,1,0,46.67
150,SL Malinga,142,14,3,1,0,1,0,47.37
151,M Rawat,139,6,5,0,0,0,0,45.45
152,B Laughlin,137,5,4,0,0,0,0,44.44
153,MN Samuels,137,13,4,0,0,1,0,44.44
154,Sachin Baby,132,5,1,1,0,0,0,42.86
155,SK Trivedi,132,5,1,1,0,0,0,42.86
156,RJ Harris,129,3,2,0,0,0,0,40.0
157,Q de Kock,122,13,2,0,0,1,0,37.5
158,DT Christian,119,11,4,1,0,0,0,37.5
159,KK Nair,117,8,2,1,0,0,0,36.36
160,SW Tait,115,2,1,0,0,0,0,33.33
161,PC Valthaty,113,12,4,1,0,0,0,35.29
162,AS Rajpoot,112,5,0,1,0,0,0,33.33
163,S Sreesanth,98,3,1,0,0,0,0,25.0
164,LR Shukla,89,10,3,0,0,0,0,23.08
165,A Nehra,69,7,1,0,0,0,0,12.5
166,P Awana,65,8,1,0,0,0,0,11.11
167,Sandeep Sharma (1),49,1,0,0,0,0,0,0.0
168,IC Pandey,48,2,0,0,0,0,0,0.0
169,AB McDonald,48,2,0,0,0,0,0,0.0
170,S Anirudha,48,2,0,0,0,0,0,0.0
171,MM Sharma,45,5,0,0,0,0,0,0.0
