,fielder,overall,ratings
283,J Suchith,260,8
282,UT Yadav,540,22
281,MJ Clarke,120,1
280,BE Hendricks,160,3
279,T Henderson,100,0
278,R Vinay Kumar,820,36
277,M Morkel,380,14
276,Ankit Sharma,180,4
275,JH Kallis,760,33
274,LRPL Taylor,480,19
273,MA Agarwal,480,19
272,BB Samantray,180,4
271,WA Mota,200,5
270,Kamran Khan,200,5
269,AD Russell,280,9
268,A Mishra,500,20
267,R Sharma,300,10
266,NLTC Perera,420,16
265,JJ Bumrah,120,1
264,AA Chavan,160,3
263,YS Chahal,360,13
262,DJ Bravo,1380,64
261,B Sumanth,180,4
260,RR Pant,160,3
259,SW Billings,180,4
258,DJ Hussey,680,29
257,LR Shukla,480,19
256,SE Marsh,640,27
255,LMP Simmons,280,9
254,PD Collingwood,160,3
253,Shivam Sharma,120,1
252,SN Khan,120,1
251,KC Cariappa,140,2
250,L Ronchi,180,4
249,NK Patel,220,6
248,D Wiese,200,5
247,A Zampa,100,0
246,AA Noffke,100,0
245,S Sreesanth,160,3
244,KP Pietersen,380,14
243,X Thalaivan Sargunam,100,0
242,M de Lange,100,0
241,CL White,620,26
240,S Sohal,140,2
239,I Sharma,440,17
238,MC Henriques,540,22
237,Shoaib Malik,180,4
236,DAJ Bracewell,140,2
235,AS Rajpoot,120,1
234,Sohail Tanvir,220,6
233,L Balaji,340,12
232,Harbhajan Singh,820,36
231,PA Reddy,160,3
230,DP Nannes,260,8
229,CH Gayle,540,22
228,V Pratap Singh,100,0
227,AD Nath,100,0
226,MEK Hussey,640,27
225,DNT Zoysa,100,0
224,MDKJ Perera,100,0
223,NJ Maddinson,120,1
222,S Chanderpaul,100,0
221,Y Nagar,280,9
220,C Madan,100,0
219,Mohammed Shami,200,5
218,SN Thakur,100,0
217,T Kohli,120,1
216,RE van der Merwe,260,8
215,SB Jakati,520,21
214,Anirudh Singh,160,3
213,DS Lehmann,100,0
212,FY Fazal,220,6
211,AP Majumdar,100,0
210,W Jaffer,200,5
209,MK Pandey,1160,53
208,SP Fleming,140,2
207,Pankaj Singh,140,2
206,Misbah-ul-Haq,120,1
205,S Nadeem,300,10
204,RR Rossouw,140,2
203,M Kaif,420,16
202,AM Nayar,380,14
201,Umar Gul,120,1
200,TL Suman,400,15
199,Harmeet Singh,160,3
198,Azhar Mahmood,240,7
197,SK Raina,1920,91
196,Gurkeerat Singh,360,13
195,Y Venugopal Rao,380,14
194,MR Marsh,260,8
193,NS Naik,140,2
192,GH Vihari,260,8
191,MK Tiwary,880,39
190,Yuvraj Singh,760,33
189,WD Parnell,220,6
188,R Rampaul,180,4
187,BA Bhatt,100,0
186,PSP Handscomb,100,0
185,AP Tare,260,8
184,VR Aaron,160,3
183,RS Bopara,180,4
182,PP Ojha,380,14
181,DA Miller,980,44
180,SB Styris,160,3
179,AN Ghosh,120,1
178,IR Jaggi,140,2
177,SS Tiwary,640,27
176,A Uniyal,100,0
175,K Upadhyay,120,1
174,BB McCullum,880,39
173,RV Uthappa,2100,100
172,CRD Fernando,140,2
171,MM Sharma,400,15
170,M Ashwin,100,0
169,SR Watson,720,31
168,AD Mathews,480,19
167,MJ Lumb,200,5
166,PM Sarvesh Kumar,100,0
165,IC Pandey,220,6
164,M Rawat,520,21
163,RP Singh,780,34
162,DS Kulkarni,360,13
161,HH Gibbs,640,27
160,SP Goswami,520,21
159,AA Jhunjhunwala,380,14
158,DR Martyn,100,0
157,M Kartik,480,19
156,NJ Rimmington,100,0
155,Sandeep Sharma (1),100,0
154,MJ McClenaghan,120,1
153,RJ Quiney,140,2
152,RS Gavaskar,100,0
151,Kamran Akmal,280,9
150,AS Yadav,140,2
149,B Akhil,180,4
148,JD Ryder,300,10
147,DA Warner,1080,49
146,AP Dole,140,2
145,AJ Finch,440,17
144,KL Rahul,460,18
143,S Kaul,120,1
142,A Nehra,440,17
141,T Thushara,160,3
140,SM Pollock,140,2
139,Iqbal Abdulla,400,15
138,Harpreet Singh,140,2
137,RE Levi,140,2
136,G Gambhir,660,28
135,IK Pathan,760,33
134,KD Karthik,2480,119
133,LA Pomersbach,240,7
132,MN Samuels,120,1
131,P Negi,320,11
130,S Vidyut,120,1
129,A Ashish Reddy,300,10
128,DJ Hooda,240,7
127,KM Jadhav,520,21
126,NL McCullum,120,1
125,Imran Tahir,160,3
124,BJ Haddin,100,0
123,ML Hayden,380,14
122,D Salunkhe,140,2
121,BJ Hodge,600,25
120,DP Vijaykumar,100,0
119,N Saini,380,14
118,KW Richardson,200,5
117,V Kohli,1460,68
116,SW Tait,220,6
115,DH Yagnik,480,19
114,J Syed Mohammad,120,1
113,Sandeep Sharma,200,5
112,KK Cooper,380,14
111,Sachin Baby,180,4
110,S Randiv,160,3
109,GB Hogg,200,5
108,PJ Sangwan,260,8
107,Shoaib Ahmed,180,4
106,CJ Ferguson,140,2
105,RA Jadeja,1140,52
104,U Kaul,160,3
103,AA Bilakhia,120,1
102,AN Ahmed,160,3
101,JEC Franklin,220,6
100,Q de Kock,300,10
99,DB Das,280,9
98,Yashpal Singh,160,3
97,JM Kemp,120,1
96,SPD Smith,880,39
95,P Awana,200,5
94,Anureet Singh,200,5
93,SA Abbott,100,0
92,WPUJC Vaas,120,1
91,L Ablish,100,0
90,SK Warne,360,13
89,FH Edwards,100,0
88,DL Vettori,340,12
87,EJG Morgan,620,26
86,TR Birt,100,0
