,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
47,P Kumar,47,71,98,17,0,29,0,15,7,8.85
48,SR Watson,39,62,79,16,1,25,1,9,6,8.5
49,P Negi,38,53,85,15,0,18,0,12,6,8.55
50,Gurkeerat Singh,35,19,26,4,0,5,0,2,3,7.17
51,TG Southee,34,66,59,12,4,22,0,12,6,8.76
52,JP Faulkner,23,88,104,30,1,41,0,17,8,9.31
53,Shivam Sharma,0,3,4,4,0,5,0,2,1,14.67
54,KC Cariappa,0,3,4,0,0,3,0,2,1,14.0
55,Azhar Mahmood,0,5,8,0,0,4,1,2,0,12.81
56,SN Thakur,0,5,7,2,0,4,0,2,1,12.19
57,AB Dinda,0,4,18,3,0,4,1,3,0,11.89
58,PP Ojha,0,1,7,2,0,0,0,2,0,11.5
59,JJ Bumrah,0,24,40,9,0,12,0,13,3,11.36
60,B Brainder Sran,0,5,9,0,0,4,1,1,0,11.25
61,Karanveer Singh,0,22,32,12,1,10,0,10,1,11.12
62,I Sharma,0,30,30,3,0,15,1,10,1,11.1
63,SA Abbott,0,6,15,2,0,8,0,1,0,10.96
64,S Gopal,0,2,7,2,0,0,0,2,1,10.95
65,GS Sandhu,0,9,18,10,0,9,0,2,1,10.75
66,R Tewatia,0,6,5,3,0,2,0,2,1,10.33
67,RG More,0,4,19,7,0,6,0,1,1,10.33
68,HH Pandya,0,29,42,9,0,22,0,5,1,10.17
69,YK Pathan,0,12,34,2,0,5,0,7,2,10.0
70,JD Unadkat,0,7,6,1,0,1,0,3,0,10.0
71,AN Ahmed,0,26,27,5,0,8,1,8,1,9.92
72,J Theron,0,4,15,2,0,4,0,1,1,9.76
73,VR Aaron,0,44,35,3,0,23,1,7,3,9.73
74,GJ Maxwell,0,19,31,1,0,4,0,8,2,9.42
75,R Bhatia,0,7,15,3,0,2,0,3,0,9.4
76,PJ Cummins,0,22,26,3,0,9,1,5,1,9.36
77,JA Morkel,0,22,27,9,0,14,0,2,3,9.26
78,KA Pollard,0,14,45,9,0,10,0,3,3,9.1
79,NLTC Perera,0,9,19,1,0,7,0,1,1,9.02
80,DW Steyn,0,38,43,9,0,23,0,3,3,8.91
81,P Suyal,0,19,29,5,2,10,0,2,0,8.74
82,DJG Sammy,0,2,12,1,0,3,0,0,0,8.67
83,DR Smith,0,4,3,4,0,0,0,1,1,8.5
84,Shakib Al Hasan,0,34,34,4,1,9,0,7,4,8.48
85,R Dhawan,0,20,37,9,0,11,0,2,1,8.47
86,A Ashish Reddy,0,9,19,5,0,1,0,3,3,8.36
87,CJ Anderson,0,10,7,3,0,2,0,2,1,8.25
88,Yuvraj Singh,0,11,33,5,0,2,0,4,1,8.24
89,DJ Hooda,0,25,49,9,0,10,0,4,1,8.14
90,J Botha,0,19,32,2,0,4,0,5,1,8.04
91,Ankit Sharma,0,29,36,6,1,10,1,3,3,8.03
92,CH Gayle,0,3,8,1,0,0,0,1,0,7.62
93,SK Raina,0,24,42,2,0,6,0,4,2,7.23
94,M de Lange,0,15,4,1,1,4,1,0,0,7.14
95,M Vijay,0,4,16,2,0,2,0,0,0,7.0
96,V Kohli,0,2,8,1,0,0,0,0,0,6.67
97,Parvez Rasool,0,12,13,2,0,2,0,1,1,6.2
98,S Nadeem,0,21,17,2,0,1,0,3,0,5.97
