,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
295,AS Rajpoot,0,26,45,8,0,15,1,2,4,8.57
296,CJ McKay,0,14,17,1,1,8,0,1,1,8.57
297,ND Doshi,0,24,21,1,0,5,0,6,2,8.49
298,K Goel,0,19,29,7,1,9,0,2,0,8.47
299,V Kohli,0,52,148,28,0,24,1,11,4,8.43
300,SS Sarkar,0,4,16,1,0,4,0,0,1,8.29
301,AC Voges,0,15,30,1,0,8,0,2,0,8.26
302,Shami Ahmed,0,15,15,1,0,6,1,1,1,8.25
303,PM Sarvesh Kumar,0,11,12,1,0,7,0,0,1,8.24
304,Parvez Rasool,0,60,95,12,0,22,0,11,4,8.22
305,JO Holder,0,80,90,16,1,29,1,10,5,8.16
306,TM Dilshan,0,79,139,14,1,27,0,15,5,8.09
307,M Vijay,0,8,21,2,0,6,0,0,0,8.03
308,SA Yadav,0,2,2,1,0,1,0,0,0,8.0
309,RS Gavaskar,0,2,2,1,0,1,0,0,0,8.0
310,DL Chahar,0,13,12,2,0,5,0,1,0,7.92
311,SM Boland,0,14,18,4,0,6,0,1,2,7.89
312,DAJ Bracewell,0,10,10,1,0,2,0,2,3,7.8
313,DP Vijaykumar,0,63,55,11,2,23,0,5,4,7.79
314,DJ Hooda,0,46,94,14,0,16,0,7,4,7.78
315,AL Menaria,0,40,48,6,0,15,0,4,3,7.78
316,JM Kemp,0,15,22,3,0,6,0,1,3,7.73
317,S Badree,0,47,41,6,0,11,1,6,2,7.5
318,C Munro,0,5,5,0,0,1,0,1,0,7.5
319,S Rana,0,5,8,1,0,2,0,0,0,7.5
320,R Tewatia,0,27,32,4,0,5,0,5,3,7.44
321,BMAJ Mendis,0,11,14,1,0,2,0,2,1,7.2
322,C Nanda,0,13,26,8,0,1,0,2,2,7.07
323,GR Napier,0,8,12,1,0,2,0,1,1,7.0
324,Y Gnaneswara Rao,0,3,1,1,0,1,0,0,0,7.0
325,KS Williamson,0,2,3,0,0,1,0,0,0,7.0
326,NL McCullum,0,10,15,2,0,1,0,2,0,7.0
327,RN ten Doeschate,0,22,48,6,0,4,0,3,2,6.96
328,Mohammad Hafeez,0,22,32,1,0,5,1,2,2,6.89
329,T Henderson,0,14,13,4,0,5,0,0,1,6.83
330,NJ Rimmington,0,9,4,2,0,3,0,0,0,6.67
331,MJ Clarke,0,22,34,3,0,5,0,2,2,6.55
332,GH Vihari,0,17,13,2,0,4,0,1,1,6.39
333,M Manhas,0,15,21,2,1,2,0,1,0,6.0
