,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
259,KC Cariappa,302,3,7,0,0,0,1,118.18
260,RR Sarwan,300,34,31,6,0,6,1,93.59
261,DS Kulkarni,298,47,36,7,1,6,2,89.9
262,SA Abbott,297,7,3,1,0,1,1,115.38
263,R Bishnoi,297,11,3,0,0,1,2,111.76
264,J Syed Mohammad,297,11,11,1,0,4,0,107.41
265,RR Raje,296,6,10,0,0,1,1,111.11
266,Ishan Kishan,296,17,16,3,0,5,0,102.44
267,MA Khote,295,10,8,1,0,2,1,109.09
268,NL McCullum,294,8,9,4,1,0,1,113.04
269,SN Thakur,292,2,3,0,0,1,0,116.67
270,AB Barath,290,22,14,1,0,5,1,97.67
271,R Rampaul,289,26,15,6,0,3,2,98.08
272,MM Patel,286,17,17,1,0,5,0,97.5
273,KB Arun Karthik,286,24,20,3,1,4,1,96.23
274,Anirudh Singh,286,34,23,5,0,6,1,91.3
275,RJ Peterson,284,15,12,1,0,3,1,100.0
276,AA Chavan,283,5,4,0,0,2,0,109.09
277,MDKJ Perera,283,8,2,0,0,3,0,107.69
278,RV Gomez,283,27,16,4,0,5,1,94.34
279,KAJ Roach,282,3,4,1,0,1,0,111.11
280,F Behardien,282,5,6,0,0,2,0,107.69
281,Y Gnaneswara Rao,282,9,5,1,0,3,0,105.56
282,SL Malinga,282,58,31,1,0,6,4,81.0
283,AC Thomas,281,8,8,1,0,1,1,105.26
284,JJ van der Wath,280,8,6,1,0,1,1,105.88
285,CJ Ferguson,280,58,42,10,0,9,0,82.35
286,JM Kemp,279,11,9,2,1,1,1,104.0
287,NM Coulter-Nile,279,22,12,1,0,3,2,95.0
288,VR Aaron,273,22,16,3,0,2,2,93.33
289,L Ronchi,271,26,4,0,0,6,1,91.89
290,R Sharma,270,48,14,7,0,5,3,85.71
291,GB Hogg,269,5,14,2,0,1,0,100.0
292,C Munro,269,13,12,3,0,3,0,96.77
293,J Arunkumar,268,16,3,0,0,5,0,95.83
294,KW Richardson,264,17,16,3,0,2,1,92.31
295,SB Jakati,263,12,14,1,0,3,0,93.33
296,B Sumanth,263,15,17,3,0,3,0,92.11
297,DT Patil,260,5,5,2,0,1,0,100.0
298,JDS Neesham,260,25,10,7,0,3,1,91.3
299,SB Bangar,260,28,25,1,0,1,3,84.48
300,NJ Maddinson,259,15,1,0,1,4,0,95.24
301,DS Lehmann,259,10,6,0,0,3,0,94.74
302,VS Malik,258,3,3,0,0,1,0,100.0
303,Mohammad Hafeez,255,51,24,0,0,7,2,76.19
304,BB Sran,254,0,4,0,0,0,0,100.0
305,SJ Srivastava,253,1,3,1,0,0,0,100.0
306,RG More,252,0,2,0,0,0,0,100.0
307,AG Paunikar,252,41,9,2,0,9,0,80.33
308,NJ Rimmington,251,0,1,0,0,0,0,100.0
309,DP Vijaykumar,251,0,1,0,0,0,0,100.0
310,DE Bollinger,251,11,9,1,0,1,1,91.3
311,Mashrafe Mortaza,250,1,0,1,0,0,0,100.0
312,VS Yeligati,250,1,0,1,0,0,0,100.0
313,SW Tait,248,11,13,0,0,1,1,88.46
314,SP Narine,248,29,23,2,0,2,2,81.03
315,WD Parnell,248,39,31,5,0,4,1,78.75
316,M Rawat,248,34,29,2,0,4,1,78.57
317,GR Napier,246,7,5,3,0,1,0,93.75
318,AA Bilakhia,243,43,31,9,0,5,0,78.41
319,RT Ponting,239,69,47,6,0,5,2,70.54
320,S Sriram,236,18,15,2,0,3,0,81.58
321,CK Langeveldt,235,6,2,0,0,0,1,88.89
322,I Sharma,235,23,17,3,0,2,1,80.43
323,Parvez Rasool,233,7,11,1,0,1,0,85.0
324,R Shukla,232,10,11,0,0,2,0,82.61
325,BMAJ Mendis,231,8,15,4,0,0,0,85.19
326,AN Ghosh,230,5,1,1,0,1,0,87.5
327,SS Shaikh,227,4,2,0,0,1,0,85.71
328,BA Bhatt,227,6,0,0,0,0,1,85.71
329,A Mukund,227,9,11,2,0,1,0,82.61
330,CA Ingram,227,12,11,1,0,2,0,80.77
331,WA Mota,227,30,40,4,0,2,0,73.68
332,A Chopra,225,45,21,2,0,7,0,70.67
333,S Chanderpaul,222,20,9,0,0,4,0,75.76
334,DJ Thornely,222,31,19,0,0,2,2,72.22
335,Imran Tahir,220,15,4,1,0,3,0,78.26
336,S Kaul,214,5,3,3,0,0,0,81.82
337,GD McGrath,214,4,0,0,0,1,0,80.0
338,A Kumble,214,24,21,1,0,3,0,71.43
339,Yashpal Singh,214,39,20,2,1,5,0,70.15
340,Harpreet Singh,213,8,16,2,0,0,0,76.92
341,J Theron,211,6,6,0,0,1,0,76.92
342,L Balaji,211,29,15,2,1,2,1,72.0
343,IR Jaggi,210,32,20,4,1,3,0,71.67
344,FH Edwards,209,3,1,0,1,0,0,80.0
345,DR Martyn,209,10,15,0,0,1,0,73.08
346,AA Noffke,207,6,5,0,0,1,0,75.0
347,D du Preez,206,5,6,2,0,0,0,76.92
348,AD Nath,206,13,10,3,0,1,0,74.07
349,SK Trivedi,206,37,16,4,0,3,1,68.85
350,C Madan,204,15,3,0,0,3,0,71.43
351,RP Singh,204,41,31,2,1,2,1,66.67
352,S Tyagi,202,1,3,0,0,0,0,75.0
353,A Nehra,201,37,21,1,0,3,1,65.08
354,JE Taylor,200,2,1,1,0,0,0,75.0
355,CJ Jordan,200,2,1,1,0,0,0,75.0
356,AG Murtaza,199,7,6,0,0,1,0,71.43
357,Karanveer Singh,197,9,6,1,0,1,0,70.59
358,NS Naik,197,16,13,3,0,1,0,69.7
359,TM Srivastava,196,5,5,0,1,0,0,72.73
360,Jaskaran Singh,196,5,4,2,0,0,0,72.73
361,Sandeep Sharma,196,12,15,0,0,1,0,67.86
362,PJ Sangwan,194,16,12,3,0,1,0,68.75
363,T Henderson,192,11,3,1,0,0,1,68.75
364,CK Kapugedera,187,10,12,2,0,0,0,66.67
365,M Muralitharan,186,17,9,2,1,1,0,66.67
